"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098408",1,1,0,NA,NA,0,0,1,0.0983930044833837
"SRR5098409",11,11,0,NA,NA,0.110769574580523,0.0321602425964657,1.03322889181856,0.878412659093442
"SRR5098410",5,5,0,NA,NA,1.25207375764967,0.642681281697026,2.79862192708329,0.47816657474114
"SRR5098411",6,6,0,NA,NA,1.66334267365408,0.789722833232321,4.75562808540613,0.658490877498505
"SRR5098413",11,11,0,NA,NA,0.628471845850212,0.238021981240448,1.31237381575381,0.95596510463199
"SRR5098415",2,2,0,NA,NA,0.221701156571856,0.10944489428374,1.12289513987539,0.185530574207982
"SRR5098416",5,5,0,NA,NA,1.51515948533785,0.759882815515524,4.16463320668602,0.555914172263668
"SRR5098417",1,1,0,NA,NA,0,0,1,0.100474203061862
"SRR5098420",4,4,0,NA,NA,0.815388505846712,0.410312981533419,1.69581484530624,0.384602246445492
"SRR5098421",13,13,0,NA,NA,0.427093429258875,0.143144543649232,1.16705798228661,1.07647067822671
"SRR5098425",6,6,0,NA,NA,0.454490444985894,0.21605047392023,1.275592326716,0.505198407844396
"SRR5098426",9,9,0,NA,NA,1.57845428027857,0.723744108630992,3.61983230491274,0.922352460742864
"SRR5098427",6,6,0,NA,NA,1.59698295573713,0.774291358024691,4.43049052640791,0.978236524519119
"SRR5098429",5,5,0,NA,NA,1.16087644433884,0.585426852214567,2.41211956283662,0.500439732061047
"SRR5098430",6,6,0,NA,NA,1.50279903164647,0.754285038639592,4.06975625115976,0.578615076554977
"SRR5098431",4,4,0,NA,NA,1.38315017674917,0.748385417836527,3.97433245482689,0.448058335908547
"SRR5098432",3,3,0,NA,NA,0.620059178289995,0.327397966262696,1.48676327135604,0.332627027384714
"SRR5098434",15,15,0,NA,NA,1.67231417021099,0.712676393587961,3.48039624201967,1.49040922669299
"SRR5098435",10,10,0,NA,NA,1.51643170484579,0.617768511082225,2.61621564155097,0.99548243999947
"SRR5098436",6,6,0,NA,NA,0.630626037973758,0.377126779437282,1.60546314560863,0.486456540050735
"SRR5098438",6,6,0,NA,NA,0.839570112260214,0.372265987255001,1.59303141091102,0.581821800358176
"SRR5098439",7,7,0,NA,NA,0.816211245593063,0.368475741382914,1.5834704468674,0.60494979522607
"SRR5098442",7,7,0,NA,NA,1.32208140059223,0.664147372528616,2.9774964320778,0.664980675874706
"SRR5098443",18,18,0,NA,NA,1.89603261808039,0.705541332789149,3.39606237259757,1.79752671091762
"SRR5098444",7,7,0,NA,NA,1.20752870915735,0.548351356497975,2.21411049139023,0.903675001749261
"SRR5098445",4,4,0,NA,NA,1.20807821449878,0.647912151597655,2.84020026404677,0.467192926618814
"SRR5098446",13,13,0,NA,NA,2.36242950181402,0.890035325697325,9.09382950789747,1.3164290146348
"SRR5098447",3,3,0,NA,NA,0.387527289076173,0.181185272331906,1.22127749564044,0.262905940105818
"SRR5098449",3,3,0,NA,NA,0.166785762892619,0.0639750327390205,1.06834757081985,0.248092716685239
"SRR5098450",12,12,0,NA,NA,0.986001310170364,0.375970114143299,1.60248735303301,1.12404835626621
"SRR5098452",2,2,0,NA,NA,0.659067423869914,0.466309182390321,1.87374406117544,0.225232734658245
"SRR5098453",7,7,0,7,0.925820099772552,1.65683805708696,0.791060445280441,4.786073184382,0.683111565996368
"SRR5098454",5,5,0,NA,NA,0.517126612775988,0.222709733195482,1.28652067664639,0.499253345502537
"SRR5098456",8,8,0,NA,NA,1.73418528896659,0.771780528748505,4.38174707230835,0.81156472234833
"SRR5098457",5,5,0,NA,NA,1.02675899541859,0.490549174542355,1.96289798745873,0.482674882624529
"SRR5098458",11,11,0,NA,NA,2.08187003332279,0.823023750708029,5.6504757220288,1.17570149354939
"SRR5098459",7,7,0,NA,NA,1.10648177728254,0.538895237811271,2.1687045591403,0.669390073030439
"SRR5098460",7,7,0,NA,NA,1.52591558369667,0.722823480797784,3.60780921442499,0.664098136974317
"SRR5098461",13,13,0,NA,NA,1.79439123237545,0.725075024235643,3.63735596309416,1.30151386750555
"SRR5098465",6,6,0,NA,NA,1.70054090734305,0.802803649712333,5.07108776882136,0.730849855973243
"SRR5098466",13,13,0,NA,NA,1.62131525759961,0.69680990031218,3.29826073156627,1.23395335661195
"SRR5098467",7,7,0,NA,NA,1.39787068794932,0.669886626883195,3.02926231239401,0.666805100756192
"SRR5098469",7,7,0,NA,NA,0.722087369809608,0.3749968395939,1.5999919094013,0.591309112370504
"SRR5098471",10,10,0,NA,NA,0.648401612729349,0.246340412489048,1.3268589912093,0.894276153855913
"SRR5098473",4,4,0,NA,NA,0.959201548436439,0.493515062844951,1.97439237900548,0.408045692720898
"SRR5098475",7,7,0,NA,NA,0.965903672447762,0.429293881678783,1.75221531344642,0.697511839315674
