"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV529","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769_ITS2_ASV256","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Pedaliaceae","g__Sesamum","s__indicum"
"PRJNA356769_ITS2_ASV264","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Petroselinum","s__crispum"
"PRJNA356769_ITS2_ASV267","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Cenchrus","s__americanus"
"PRJNA356769_ITS2_ASV270","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV272","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Ocimum","s__basilicum"
"PRJNA356769_ITS2_ASV278","k__Viridiplantae","p__Chlorophyta","c__Trebouxiophyceae","o__Chlorellales","f__Chlorellaceae","g__Prototheca","s__bovis"
"PRJNA356769_ITS2_ASV281","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Cenchrus","s__americanus"
"PRJNA356769_ITS2_ASV282","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Fagaceae","g__Quercus","s__serrata"
"PRJNA356769_ITS2_ASV284","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Anacardium","s__occidentale"
"PRJNA356769_ITS2_ASV297","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Lythraceae","g__Punica","s__granatum"
"PRJNA356769_ITS2_ASV298","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Ipomoea","s__aquatica"
"PRJNA356769_ITS2_ASV301","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Apium","s__commersonii"
"PRJNA356769_ITS2_ASV302","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Salsola","s__praecox"
"PRJNA356769_ITS2_ASV309","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita",NA
"PRJNA356769_ITS2_ASV311","k__Viridiplantae","p__Anthophyta",NA,NA,NA,NA,NA
"PRJNA356769_ITS2_ASV314","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Asparagales","f__Amaryllidaceae","g__Allium","s__sativum"
"PRJNA356769_ITS2_ASV316","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Bromus","s__inermis"
"PRJNA356769_ITS2_ASV34","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Phaseolus","s__lunatus"
"PRJNA356769_ITS2_ASV341","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__sativus"
